时间戳记,How often do you usually shop fashion products?,"Your monthly spending on online shopping (£), if you shop fashion products seasonally or yearly, please use an estimated number.","When you browse the shopping pages of fashion websites, do you do so with an obvious goal in mind? (e.g., knowing exactly what you want to buy) ",Factors you would consider when shopping fashion items online.,"To what extent would you choose to buy an unplanned fashion item because of the visual stimulation? (visual stimulation include web page design, Product Images and website UI etc.) ","Please rate your willingness in shopping fashion item on a complex but detailed web page, in this web page, textual descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","Please rate your willingness in shopping fashion item on a simple but with less information web page, in this web page, graphical descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","How much do you think the interactivity of the website (information to be logically presented, easy to use) plays a part in your online fashion shopping experience? ","How much do you think screen design on the website (i.e., colours, boxes, menus, navigation tools etc.) plays a part in your online fashion shopping experience? ",Please rate how much would you think an aesthetically pleasing web design and great web interaction design will make you trust/like the brand more? ,Please rate how much would you think that a good web design and interaction system is necessary for a successful online fashion shopping platform? ,To what extent do you think a personalized digital channel design would add to your purchase intention?,How much do you willing to buy an item suggested by fashion websites based on their analyzed data?,"If you do, where would you expect the personalized content (e.g., item suggestion) to show up?",Your age,Your Gender
2022-12-23 下午02:56:03,Every Season,0 - 100,3,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Site search function, Website page design",3,2,,3,,3,3,3,3,3,,,26 - 35,Female
2022-12-23 下午03:00:47,Every Season,Above 500,5,"Prices and events, Product presentation (mainly pictures and videos), Site search function, Website page design",2,3,,2,,4,5,5,4,5,,,26 - 35,Male
2022-12-23 下午03:01:33,Every Month,0 - 100,2,"Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",4,2,,5,,5,5,4,5,5,,,19 - 25,Female
2022-12-23 下午04:16:21,Only at sales,0 - 100,2,"Prices and events, Product presentation (mainly pictures and videos), Consumer reviews and scores",1,4,I am fine with it,3,I am fine with it,2,3,2,3,2,1,"When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Male
2022-12-23 下午04:41:22,Every Year,0 - 30,3,"Website Functionality Guidelines, Prices and events, Variety of payment options, Website page design",2,4,I am fine with it,4,I am fine with it,5,5,5,5,4,3,Homepage,Under 18,Female
2022-12-23 下午05:12:49,Every Week,30 - 80,1,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Variety of payment options, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",3,2,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Poor layout design",5,,5,5,5,5,5,5,"Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you"", At check out",19 - 25,Female
2022-12-23 下午05:17:59,Every Month,80 - 150,3,"Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",4,3,No direct visual stimulation (e.g. images),5,I am fine with it,4,4,5,5,3,3,"Product information page, Your shopping basket",19 - 25,Female
2022-12-23 下午05:36:59,Every Month,80 - 150,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), Variety of payment options",4,2,Poor layout design,4,I am fine with it,4,4,5,4,4,4,My account page,19 - 25,Female
2022-12-23 下午06:17:27,Every Week,Above 300,4,"Website Functionality Guidelines, Prices and events, Product presentation (text-based), Variety of payment options, Site search function, After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores, Logistics",2,3,Poor layout design,4,I am fine with it,3,3,4,4,5,5,"My account page, When you filter or search, it will be shown in the filter called ""Recommended for you""",Under 18,Male
2022-12-23 下午10:40:44,Every Month,30 - 80,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Consumer reviews and scores",3,4,,4,,3,2,3,4,3,3,Homepage,19 - 25,Female
2022-12-23 下午11:16:56,Every Month,Above 300,4,"Product presentation (mainly pictures and videos), Product presentation (text-based)",3,3,Poor layout design,3,I am fine with it,3,3,3,3,3,3,Your shopping basket,26 - 35,Female
2022-12-23 下午11:30:53,Every Month,0 - 30,3,"Prices and events, Product presentation (mainly pictures and videos)",3,3,Don't want to read the text (too much info),2,Lack of enough info,4,4,3,3,5,4,"Product information page, My account page",19 - 25,Female
2022-12-24 上午02:28:09,Every Year,0 - 30,4,"Prices and events, Product presentation (text-based), After-sales service (return and exchange service, etc.), Consumer reviews and scores",1,3,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Poor layout design",4,I am fine with it,4,4,5,5,2,3,"Homepage, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
2022-12-24 上午06:54:05,Every Month,150 - 300,5,"Prices and events, Product presentation (mainly pictures and videos), Site search function, After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",4,4,Don't want to read the text (too much info),4,I am fine with it,4,4,5,5,5,3,"Homepage, Product information page",26 - 35,Male
2022-12-24 上午07:08:23,Every Month,80 - 150,5,"Prices and events, Product presentation (text-based), Site search function, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.)",5,4,I am fine with it,5,I am fine with it,5,5,5,5,5,4,"Homepage, Product information page",26 - 35,Male
2022-12-24 上午07:29:46,Every Month,30 - 80,2,Prices and events,3,3,Font design,3,Poor font design,3,3,3,3,4,3,Under each category's main page,19 - 25,Female
2022-12-24 上午10:11:51,Every Month,30 - 80,1,"Prices and events, Variety of payment options, Site search function, Consumer reviews and scores",2,2,"Don't want to read the text (too much info), Poor layout design",4,I am fine with it,3,5,4,4,2,2,My account page,19 - 25,Female
2022-12-24 上午11:05:50,Every Season,0 - 30,4,"Prices and events, Product presentation (mainly pictures and videos), Variety of payment options, Site search function, After-sales service (return and exchange service, etc.), Logistics",3,2,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images)",4,I am fine with it,4,5,5,5,4,4,"Homepage, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
2022-12-24 下午01:04:45,Every Week,Above 300,4,"Prices and events, Product presentation (mainly pictures and videos), Site search function, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Website page design",3,3,I am fine with it,3,I am fine with it,4,4,4,4,2,4,"Product information page, My account page, When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Female
2022-12-24 下午02:15:36,Every Season,80 - 150,4,"Prices and events, Site search function, Logistics",4,4,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Font design",3,"Poor font design, Poor layout design",4,4,4,3,3,4,"Homepage, Product information page, When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
2022-12-24 下午05:04:23,Every Season,80 - 150,4,Prices and events,4,4,Poor layout design,4,Lack of enough info,4,4,4,3,4,4,My account page,26 - 35,Female
2022-12-24 下午05:39:26,Every Month,30 - 80,5,"Website Functionality Guidelines, Product presentation (mainly pictures and videos), Variety of payment options, Site search function",5,5,"Font design, I am fine with it",5,I am fine with it,5,4,2,5,5,2,"Product information page, My account page, Under each category's main page",19 - 25,Male
2022-12-24 下午09:01:30,Only at sales,30 - 80,4,"Prices and events, Product presentation (mainly pictures and videos), Variety of payment options, Site search function, Website page design, Consumer reviews and scores",3,4,"Don't want to read the text (too much info), I still buy on amazon because it's easy but I do think there is too much text",3,"I am fine with it, I would like there to be an option for more information, seems to be just a single photo",5,5,4,4,3,3,"Homepage, When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
2022-12-24 下午10:08:28,Only at sales,150 - 300,4,"Prices and events, Product presentation (mainly pictures and videos), Site search function",4,4,"Don't want to read the text (too much info), I am fine with it",2,I am fine with it,4,4,5,4,4,4,"When you filter or search, it will be shown in the filter called ""Recommended for you"", Your shopping basket, Your saved Items list",19 - 25,Male
2022-12-25 下午02:57:35,Every Month,150 - 300,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), Consumer reviews and scores",4,1,No direct visual stimulation (e.g. images),4,I am fine with it,5,4,4,5,2,5,"Product information page, My account page, Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
2022-12-25 下午03:15:38,Every Season,30 - 80,5,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Site search function, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores, Logistics",2,4,,4,,4,3,5,5,2,2,"Homepage, Product information page",19 - 25,Male
2022-12-25 下午03:15:57,Only at sales,80 - 150,4,"Website Functionality Guidelines, Product presentation (mainly pictures and videos), Site search function, After-sales service (return and exchange service, etc.)",2,3,"Don't want to read the text (too much info), Poor layout design",4,"Lack of enough info, Poor layout design",3,4,4,4,4,2,"Product information page, When you filter or search, it will be shown in the filter called ""Recommended for you""",Under 18,Male
2022-12-25 下午03:35:59,Every Month,150 - 300,4,"Prices and events, Product presentation (mainly pictures and videos), After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",3,4,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images)",2,Lack of enough info,4,4,3,4,4,3,"Product information page, My account page, When you filter or search, it will be shown in the filter called ""Recommended for you"", Your saved Items list",19 - 25,Male
2022-12-25 下午04:08:45,Every Season,30 - 80,5,"Prices and events, After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",4,2,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images)",4,I am fine with it,5,5,4,4,3,3,"Homepage, Product information page, Your saved Items list, At check out",19 - 25,Female
2022-12-25 下午04:10:04,Only at sales,0 - 30,1,Prices and events,1,1,its not sold by amazon.,1,price is too scared.,1,1,1,1,1,1,At check out,19 - 25,Male
2022-12-25 下午04:16:29,Every Month,80 - 150,3,Product presentation (mainly pictures and videos),4,2,No direct visual stimulation (e.g. images),4,Lack of enough info,2,4,5,4,3,3,Homepage,19 - 25,Female
2022-12-25 下午04:30:24,Every Month,30 - 80,5,"Prices and events, Product presentation (mainly pictures and videos), Consumer reviews and scores",1,3,No direct visual stimulation (e.g. images),1,Lack of enough info,5,3,4,5,3,3,"My account page, Your saved Items list",19 - 25,Prefer not to say
2022-12-25 下午04:34:05,Every Season,Above 300,4,"Prices and events, Product presentation (text-based)",2,4,I am fine with it,5,I am fine with it,2,2,2,2,2,2,Homepage,19 - 25,Male
2022-12-25 下午05:55:04,Every Week,Above 300,3,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Consumer reviews and scores",2,2,"Don't want to read the text (too much info), Poor layout design",3,Lack of enough info,2,2,4,4,3,3,"Product information page, Under each category's main page",19 - 25,Female
2022-12-25 下午06:28:05,Every Season,80 - 150,2,"Website Functionality Guidelines, Prices and events, Variety of payment options, Pre-sales service (contact the seller for product information, etc.)",2,2,"Don't want to read the text (too much info), I am fine with it",4,Poor layout design,3,3,3,3,3,3,"When you filter or search, it will be shown in the filter called ""Recommended for you"", Your saved Items list",19 - 25,Prefer not to say
2022-12-25 下午07:27:23,Only at sales,80 - 150,4,"Website Functionality Guidelines, Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Site search function, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores, Logistics",3,3,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Poor layout design, review system,  detail of the size chart, model information, product information",3,"Lack of enough info, review system,  detail of the size chart, model information, product information",5,4,4,4,4,4,"Homepage, Product information page, Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
2022-12-25 下午10:08:41,Only at sales,30 - 80,3,"Website Functionality Guidelines, Prices and events, After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",3,4,I am fine with it,4,I am fine with it,4,4,1,4,1,3,"My account page, When you filter or search, it will be shown in the filter called ""Recommended for you"", Your saved Items list",26 - 35,Female
2022-12-26 上午02:33:42,Every Year,30 - 80,1,"Prices and events, Product presentation (mainly pictures and videos), Site search function, Consumer reviews and scores",2,4,No direct visual stimulation (e.g. images),4,Poor layout design,4,4,5,4,3,2,Product information page,19 - 25,Male
2022-12-26 上午08:50:52,Every Season,30 - 80,2,"Website Functionality Guidelines, Prices and events, Consumer reviews and scores, Logistics",4,2,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images), Poor layout design",3,Poor layout design,4,4,4,4,4,4,"Homepage, Product information page",19 - 25,Female
2022-12-26 下午01:32:46,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:33:01,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:33:12,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:33:57,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:34:14,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:35:09,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:35:43,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:35:49,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:36:55,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:37:18,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:37:22,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:38:27,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:38:59,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:39:14,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:39:31,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:40:54,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:40:55,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:41:34,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:42:21,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:42:43,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午01:43:26,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:43:55,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:45:20,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:45:42,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:45:58,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午01:48:02,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午01:48:05,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午01:50:56,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午03:01:30,Every Month,30 - 80,4,"Product presentation (mainly pictures and videos), Variety of payment options",4,5,"No direct visual stimulation (e.g. images), Font design",4,"Poor font design, Poor layout design",5,4,3,4,4,5,"My account page, Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",26 - 35,Male
2022-12-26 下午03:07:18,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午03:07:48,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午03:08:02,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午03:08:25,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午03:11:12,Every Month,0 - 30,2,"Prices and events, After-sales service (return and exchange service, etc.)",1,2,I am fine with it,4,Lack of enough info,4,4,1,1,1,1,"Your shopping basket, My account page",36 - 45,Male
2022-12-26 下午03:11:41,Only at sales,80 - 150,1,"Variety of payment options, Logistics",3,4,"Font design, Poor layout design",1,"Poor font design, Lack of enough info",4,5,2,5,3,5,"My account page, Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午03:11:56,Only at sales,80 - 150,3,"Logistics, Variety of payment options",3,1,I am fine with it,2,"Lack of enough info, Poor font design",1,1,2,2,1,1,"Your shopping basket, Homepage, Product information page",36 - 45,Male
2022-12-26 下午03:12:18,Every Week,80 - 150,2,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website Functionality Guidelines",2,5,No direct visual stimulation (e.g. images),2,I am fine with it,1,2,2,5,1,2,"Homepage, Your saved Items list, My account page",Under 18,Male
2022-12-26 下午03:15:02,Every Year,Above 300,3,"Pre-sales service (contact the seller for product information, etc.), Product presentation (mainly pictures and videos)",2,5,"No direct visual stimulation (e.g. images), Font design",5,Lack of enough info,4,4,3,4,5,4,"Under each category's main page, Product information page, My account page",26 - 35,Male
2022-12-26 下午03:16:25,Every Week,80 - 150,2,"After-sales service (return and exchange service, etc.), Prices and events, Website page design",3,1,I am fine with it,1,"Poor layout design, Lack of enough info",1,1,1,1,1,2,"Product information page, Under each category's main page",19 - 25,Female
2022-12-26 下午03:16:49,Every Season,80 - 150,2,"Website Functionality Guidelines, Consumer reviews and scores, Prices and events",3,4,I am fine with it,4,"Poor layout design, Lack of enough info",4,4,2,4,5,5,"Product information page, Your saved Items list",19 - 25,Male
2022-12-26 下午03:16:57,Every Year,150 - 300,3,"Website page design, Consumer reviews and scores, Website Functionality Guidelines",4,3,Poor layout design,5,Lack of enough info,2,5,2,5,2,5,"Under each category's main page, Your shopping basket",26 - 35,Male
2022-12-26 下午03:18:33,Every Year,150 - 300,1,"Pre-sales service (contact the seller for product information, etc.), Prices and events",5,5,"No direct visual stimulation (e.g. images), Poor layout design, Font design",4,"Poor font design, Lack of enough info",4,5,4,5,1,4,"Product information page, Your shopping basket",19 - 25,Male
2022-12-26 下午03:18:47,Every Year,150 - 300,5,"Website Functionality Guidelines, Product presentation (mainly pictures and videos), Variety of payment options",2,5,"Font design, No direct visual stimulation (e.g. images)",2,Lack of enough info,4,4,5,5,3,4,"Homepage, My account page, Product information page",19 - 25,Male
2022-12-26 下午03:20:10,Every Week,30 - 80,1,"Site search function, Pre-sales service (contact the seller for product information, etc.), Product presentation (mainly pictures and videos)",2,4,I am fine with it,1,I am fine with it,1,2,3,2,1,1,"Your shopping basket, Your saved Items list, Under each category's main page",26 - 35,Male
