时间戳记,How often do you usually shop fashion products?,"Your monthly spending on online shopping (£), if you shop fashion products seasonally or yearly, please use an estimated number.","When you browse the shopping pages of fashion websites, do you do so with an obvious goal in mind? (e.g., knowing exactly what you want to buy) ",Factors you would consider when shopping fashion items online.,"To what extent would you choose to buy an unplanned fashion item because of the visual stimulation? (visual stimulation include web page design, Product Images and website UI etc.) ","Please rate your willingness in shopping fashion item on a complex but detailed web page, in this web page, textual descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","Please rate your willingness in shopping fashion item on a simple but with less information web page, in this web page, graphical descriptions are heavily weighted. ","If you lack willingness in shopping in this web page, can you specific why? ","How much do you think the interactivity of the website (information to be logically presented, easy to use) plays a part in your online fashion shopping experience? ","How much do you think screen design on the website (i.e., colours, boxes, menus, navigation tools etc.) plays a part in your online fashion shopping experience? ",Please rate how much would you think an aesthetically pleasing web design and great web interaction design will make you trust/like the brand more? ,Please rate how much would you think that a good web design and interaction system is necessary for a successful online fashion shopping platform? ,To what extent do you think a personalized digital channel design would add to your purchase intention?,How much do you willing to buy an item suggested by fashion websites based on their analyzed data?,"If you do, where would you expect the personalized content (e.g., item suggestion) to show up?",Your age,Your Gender
2022-12-26 下午03:22:46,Every Month,Above 300,5,"Website Functionality Guidelines, Product presentation (mainly pictures and videos)",5,5,I am fine with it,4,Lack of enough info,4,4,3,3,3,4,"Under each category's main page, My account page, Your shopping basket",Above 46,Female
2022-12-26 下午03:22:49,Only at sales,Above 300,2,"Website page design, Site search function, Variety of payment options",2,3,I am fine with it,2,"Lack of enough info, Poor font design",4,2,2,2,3,3,"My account page, Homepage",Above 46,Male
2022-12-26 下午03:23:00,Every Week,80 - 150,3,"Website Functionality Guidelines, Consumer reviews and scores",1,1,"No direct visual stimulation (e.g. images), Poor layout design",2,"Poor font design, Lack of enough info",3,1,2,4,2,1,"My account page, Product information page",Under 18,Male
2022-12-26 下午03:23:33,Every Week,150 - 300,5,"After-sales service (return and exchange service, etc.), Variety of payment options, Website page design",5,4,I am fine with it,1,Lack of enough info,3,5,2,4,3,4,"Your shopping basket, Homepage, My account page",19 - 25,Female
2022-12-26 下午03:23:33,Every Week,80 - 150,3,"Consumer reviews and scores, Website page design",1,2,"Font design, No direct visual stimulation (e.g. images)",2,Lack of enough info,2,2,3,2,4,1,"Homepage, Your shopping basket, At check out",36 - 45,Female
2022-12-26 下午03:23:34,Every Year,150 - 300,3,"Product presentation (text-based), Website Functionality Guidelines",5,5,"No direct visual stimulation (e.g. images), Font design",4,I am fine with it,5,5,4,2,3,4,"My account page, Under each category's main page",26 - 35,Male
2022-12-26 下午03:23:34,Every Month,30 - 80,4,"Product presentation (text-based), Pre-sales service (contact the seller for product information, etc.), Logistics",2,4,I am fine with it,1,Lack of enough info,5,5,5,4,3,5,"When you filter or search, it will be shown in the filter called ""Recommended for you"", Your shopping basket",26 - 35,Male
2022-12-26 下午03:23:52,Every Year,30 - 80,5,"After-sales service (return and exchange service, etc.), Product presentation (text-based), Website Functionality Guidelines",3,5,I am fine with it,5,"Poor layout design, Lack of enough info",2,5,3,5,4,4,"Under each category's main page, Homepage",26 - 35,Male
2022-12-26 下午03:24:05,Only at sales,30 - 80,4,"Site search function, Website page design, After-sales service (return and exchange service, etc.)",3,5,I am fine with it,3,I am fine with it,4,2,3,5,5,4,"Under each category's main page, Your shopping basket, Product information page",Under 18,Male
2022-12-26 下午03:24:15,Every Month,150 - 300,4,"Product presentation (mainly pictures and videos), Website page design, Prices and events",2,4,"No direct visual stimulation (e.g. images), Poor layout design",1,I am fine with it,1,2,4,3,3,2,"Homepage, Under each category's main page",Under 18,Male
2022-12-26 下午03:24:52,Every Year,80 - 150,4,"Logistics, Website page design",1,4,"Font design, No direct visual stimulation (e.g. images)",5,I am fine with it,4,2,3,5,3,4,"Homepage, Your shopping basket",Under 18,Male
2022-12-26 下午03:25:43,Every Season,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.), Website Functionality Guidelines",2,1,No direct visual stimulation (e.g. images),2,"Poor font design, Lack of enough info",2,1,2,2,1,1,"Under each category's main page, Your shopping basket, Homepage",26 - 35,Male
2022-12-26 下午03:26:22,Every Month,30 - 80,2,"Prices and events, Consumer reviews and scores",1,4,I am fine with it,1,"Poor font design, Lack of enough info",1,2,2,2,3,1,"Your shopping basket, Product information page",19 - 25,Female
2022-12-26 下午03:27:47,Every Season,80 - 150,3,"Product presentation (text-based), Pre-sales service (contact the seller for product information, etc.), Website Functionality Guidelines",4,4,I am fine with it,4,"Poor layout design, Lack of enough info",5,5,4,4,4,5,"Your shopping basket, Product information page, Homepage",26 - 35,Male
2022-12-26 下午03:27:58,Every Week,30 - 80,2,"After-sales service (return and exchange service, etc.), Prices and events",3,3,I am fine with it,1,"Lack of enough info, Poor layout design",1,4,2,2,3,1,"Your shopping basket, Homepage, My account page",19 - 25,Male
2022-12-26 下午03:28:19,Every Month,30 - 80,4,"Website page design, Consumer reviews and scores",2,1,I am fine with it,2,Poor layout design,3,1,4,1,1,2,"Your shopping basket, Your saved Items list",Under 18,Male
2022-12-26 下午03:28:57,Every Week,0 - 30,4,"After-sales service (return and exchange service, etc.), Pre-sales service (contact the seller for product information, etc.)",1,1,I am fine with it,1,Lack of enough info,1,1,3,1,1,1,"Under each category's main page, Your shopping basket",Above 46,Female
2022-12-26 下午03:29:33,Only at sales,30 - 80,3,"Website Functionality Guidelines, Pre-sales service (contact the seller for product information, etc.), Prices and events",2,4,"Font design, No direct visual stimulation (e.g. images)",5,"Poor font design, Lack of enough info",4,2,4,5,3,4,"My account page, Under each category's main page, Your shopping basket",26 - 35,Female
2022-12-26 下午03:30:05,Every Month,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.), Website page design, Site search function",2,4,I am fine with it,2,Lack of enough info,2,2,2,2,3,4,"My account page, Under each category's main page, Your shopping basket",26 - 35,Male
2022-12-26 下午03:30:08,Every Month,0 - 30,2,"After-sales service (return and exchange service, etc.), Product presentation (text-based)",2,1,I am fine with it,1,Poor font design,4,1,4,2,2,2,"Your shopping basket, Homepage",19 - 25,Male
2022-12-26 下午03:31:04,Every Year,80 - 150,4,"Website Functionality Guidelines, Pre-sales service (contact the seller for product information, etc.)",2,4,Font design,2,"Poor layout design, Poor font design, Lack of enough info",4,4,5,5,4,5,"Homepage, Under each category's main page",Under 18,Male
2022-12-26 下午03:31:10,Only at sales,0 - 30,4,"Logistics, Website Functionality Guidelines",2,4,I am fine with it,2,"Poor layout design, Lack of enough info",2,1,2,2,4,2,"Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",36 - 45,Female
2022-12-26 下午03:31:36,Every Month,150 - 300,4,"Website Functionality Guidelines, Product presentation (mainly pictures and videos), Product presentation (text-based)",3,2,"No direct visual stimulation (e.g. images), Poor layout design",2,Lack of enough info,1,1,3,2,1,2,"Homepage, My account page",36 - 45,Male
2022-12-26 下午03:31:50,Every Week,0 - 30,1,"Website Functionality Guidelines, Site search function, Variety of payment options",3,1,I am fine with it,1,I am fine with it,2,3,2,1,2,1,"Under each category's main page, Product information page, Homepage",36 - 45,Male
2022-12-26 下午03:32:14,Only at sales,30 - 80,2,"Prices and events, Pre-sales service (contact the seller for product information, etc.)",1,1,I am fine with it,1,Lack of enough info,4,1,2,2,3,4,"Your shopping basket, Homepage",19 - 25,Male
2022-12-26 下午03:32:25,Every Month,0 - 30,1,"Website page design, Product presentation (text-based), Logistics",2,1,"Poor layout design, No direct visual stimulation (e.g. images)",1,I am fine with it,3,1,2,2,1,2,"My account page, Your shopping basket",Under 18,Female
2022-12-26 下午03:32:30,Every Month,30 - 80,2,"Logistics, Product presentation (mainly pictures and videos), Pre-sales service (contact the seller for product information, etc.)",2,1,"Font design, No direct visual stimulation (e.g. images)",4,"Poor font design, Lack of enough info",4,2,3,2,3,1,"Homepage, Your saved Items list",26 - 35,Male
2022-12-26 下午03:32:48,Every Year,30 - 80,4,"Logistics, Product presentation (mainly pictures and videos), Consumer reviews and scores",5,3,I am fine with it,5,Lack of enough info,4,2,4,2,2,5,"Under each category's main page, Product information page",19 - 25,Female
2022-12-26 下午03:33:27,Only at sales,0 - 30,4,"Product presentation (mainly pictures and videos), Website Functionality Guidelines",5,5,I am fine with it,5,Lack of enough info,4,4,5,4,3,4,"Product information page, Homepage, My account page",26 - 35,Female
2022-12-26 下午03:34:21,Only at sales,Above 300,3,"Website page design, Prices and events",5,1,I am fine with it,5,"Poor layout design, Lack of enough info",3,4,2,4,5,5,"Your shopping basket, My account page, Homepage",26 - 35,Female
2022-12-26 下午03:35:25,Every Month,30 - 80,2,"Site search function, Logistics, Pre-sales service (contact the seller for product information, etc.)",3,1,No direct visual stimulation (e.g. images),4,Poor layout design,2,3,2,2,2,4,"Under each category's main page, My account page",Under 18,Female
2022-12-26 下午03:35:54,Every Month,150 - 300,4,"Product presentation (mainly pictures and videos), Prices and events, Logistics",2,4,"No direct visual stimulation (e.g. images), Poor layout design",4,"Poor layout design, Poor font design, Lack of enough info",3,5,4,5,4,5,"When you filter or search, it will be shown in the filter called ""Recommended for you"", My account page",19 - 25,Male
2022-12-26 下午03:37:01,Only at sales,30 - 80,3,"Website Functionality Guidelines, Pre-sales service (contact the seller for product information, etc.), Product presentation (text-based)",1,1,Poor layout design,2,"Poor layout design, Lack of enough info",1,1,2,3,3,1,"Under each category's main page, My account page, Your shopping basket",26 - 35,Female
2022-12-26 下午03:37:20,Every Month,150 - 300,2,"Pre-sales service (contact the seller for product information, etc.), Site search function, Website Functionality Guidelines",1,1,I am fine with it,1,I am fine with it,4,4,2,2,1,4,"Under each category's main page, My account page",19 - 25,Male
2022-12-26 下午03:37:37,Every Month,30 - 80,4,"Site search function, After-sales service (return and exchange service, etc.), Product presentation (mainly pictures and videos)",2,1,I am fine with it,2,I am fine with it,1,2,2,2,3,1,"Homepage, Under each category's main page, My account page",Under 18,Male
2022-12-26 下午03:37:49,Only at sales,80 - 150,4,"Consumer reviews and scores, Variety of payment options",2,5,"Don't want to read the text (too much info), No direct visual stimulation (e.g. images)",1,Lack of enough info,5,5,5,4,4,5,"Homepage, Your shopping basket, My account page",26 - 35,Male
2022-12-26 下午03:38:05,Every Week,30 - 80,4,"Prices and events, Product presentation (text-based), Pre-sales service (contact the seller for product information, etc.)",2,4,I am fine with it,1,Lack of enough info,2,2,2,4,1,2,"At check out, Under each category's main page, Your shopping basket",19 - 25,Male
2022-12-26 下午03:38:12,Every Year,0 - 30,3,"After-sales service (return and exchange service, etc.), Product presentation (text-based), Consumer reviews and scores",3,4,I am fine with it,2,"Poor layout design, Lack of enough info",2,4,4,5,4,5,"Homepage, Your shopping basket, Your saved Items list",26 - 35,Female
2022-12-26 下午03:38:39,Only at sales,0 - 30,2,"Consumer reviews and scores, Pre-sales service (contact the seller for product information, etc.), Site search function",2,3,I am fine with it,4,I am fine with it,4,2,2,2,1,2,"Homepage, Under each category's main page, My account page",36 - 45,Female
2022-12-26 下午03:39:07,Every Month,0 - 30,2,"Variety of payment options, Prices and events",2,3,Don't want to read the text (too much info),4,Lack of enough info,4,4,2,2,4,2,"Product information page, Your shopping basket",19 - 25,Male
2022-12-26 下午03:40:21,Every Month,30 - 80,2,"Site search function, Variety of payment options, Website page design",1,1,Font design,1,I am fine with it,1,2,2,2,1,2,"Homepage, My account page",19 - 25,Male
2022-12-26 下午03:40:29,Every Year,150 - 300,4,"Site search function, Website Functionality Guidelines",3,5,"Poor layout design, Font design, No direct visual stimulation (e.g. images)",5,Lack of enough info,4,4,4,5,1,5,"Homepage, Your shopping basket, My account page",26 - 35,Male
2022-12-26 下午03:40:36,Every Month,150 - 300,3,"Site search function, Website Functionality Guidelines, Logistics",3,4,"Poor layout design, Font design",5,"Poor font design, Lack of enough info",5,4,4,1,4,4,"Under each category's main page, Your shopping basket, My account page",26 - 35,Male
2022-12-26 下午03:40:37,Every Year,30 - 80,4,"Prices and events, After-sales service (return and exchange service, etc.)",5,5,I am fine with it,4,Lack of enough info,2,5,2,2,4,4,"Under each category's main page, Product information page, Homepage",19 - 25,Male
2022-12-26 下午03:41:59,Every Month,30 - 80,3,"Logistics, Pre-sales service (contact the seller for product information, etc.)",3,4,"No direct visual stimulation (e.g. images), Font design",1,"Poor layout design, Lack of enough info",2,2,2,2,4,4,"Your shopping basket, Under each category's main page, Homepage",Under 18,Male
2022-12-26 下午03:42:22,Every Year,0 - 30,3,"Pre-sales service (contact the seller for product information, etc.), Prices and events, Site search function",1,4,"No direct visual stimulation (e.g. images), Font design",5,"Poor layout design, Lack of enough info",4,5,2,5,3,5,"Product information page, Under each category's main page",19 - 25,Male
2022-12-26 下午03:42:40,Only at sales,150 - 300,4,"Website Functionality Guidelines, Pre-sales service (contact the seller for product information, etc.)",5,3,"Font design, No direct visual stimulation (e.g. images)",4,Lack of enough info,2,4,5,4,3,5,"Under each category's main page, My account page",19 - 25,Male
2022-12-26 下午03:42:43,Every Month,30 - 80,2,"Logistics, Consumer reviews and scores",2,2,"No direct visual stimulation (e.g. images), Font design",1,Lack of enough info,4,2,2,2,1,1,"Product information page, Homepage",19 - 25,Male
2022-12-26 下午03:43:19,Every Year,30 - 80,2,"Site search function, Product presentation (mainly pictures and videos), Variety of payment options",3,4,Font design,5,Lack of enough info,1,5,2,4,4,5,"Under each category's main page, Product information page, Your shopping basket",19 - 25,Male
2022-12-26 下午03:43:37,Every Month,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.), Consumer reviews and scores",3,2,No direct visual stimulation (e.g. images),4,Lack of enough info,4,2,2,2,1,2,"Your shopping basket, At check out, Product information page",26 - 35,Female
2022-12-26 下午03:44:11,Only at sales,150 - 300,2,"Product presentation (text-based), Site search function",2,5,I am fine with it,5,Lack of enough info,3,5,3,5,3,5,"Homepage, My account page, Under each category's main page",Above 46,Male
2022-12-26 下午03:44:21,Only at sales,30 - 80,5,"Logistics, Prices and events, Consumer reviews and scores",5,4,I am fine with it,5,I am fine with it,5,5,2,4,3,5,"Under each category's main page, Your shopping basket, Product information page",Under 18,Male
2022-12-26 下午03:45:08,Only at sales,150 - 300,4,"Pre-sales service (contact the seller for product information, etc.), Site search function",2,4,I am fine with it,2,"Lack of enough info, Poor font design",4,4,2,4,3,5,"Homepage, Under each category's main page",26 - 35,Female
2022-12-26 下午03:45:16,Only at sales,150 - 300,4,"Prices and events, Product presentation (mainly pictures and videos)",2,4,Poor layout design,4,Lack of enough info,4,4,3,3,5,5,"Under each category's main page, Your shopping basket, Product information page",Above 46,Female
2022-12-26 下午03:45:56,Every Year,Above 300,4,"Prices and events, Website Functionality Guidelines",3,3,I am fine with it,4,I am fine with it,4,5,4,4,3,5,"Product information page, Homepage, Your shopping basket",36 - 45,Male
2022-12-26 下午03:45:59,Only at sales,30 - 80,5,"Pre-sales service (contact the seller for product information, etc.), Product presentation (mainly pictures and videos)",5,5,I am fine with it,2,"Poor font design, Lack of enough info",5,5,4,5,3,2,"Your shopping basket, My account page",26 - 35,Male
2022-12-26 下午03:46:14,Every Month,30 - 80,4,"Prices and events, Consumer reviews and scores, Variety of payment options",2,5,No direct visual stimulation (e.g. images),5,"Lack of enough info, Poor font design",4,5,5,5,3,4,"Product information page, My account page, Homepage",19 - 25,Female
2022-12-26 下午03:46:23,Only at sales,80 - 150,3,"Product presentation (text-based), Consumer reviews and scores",1,1,Don't want to read the text (too much info),1,"Poor layout design, Poor font design",2,1,2,2,1,1,"At check out, Under each category's main page",36 - 45,Female
2022-12-26 下午03:47:33,Every Week,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.), Product presentation (mainly pictures and videos), Logistics",1,1,I am fine with it,2,"Poor layout design, Lack of enough info",1,1,3,2,3,1,"Your shopping basket, Product information page",Above 46,Male
2022-12-26 下午03:47:45,Every Year,150 - 300,4,"Product presentation (mainly pictures and videos), Website Functionality Guidelines, Logistics",2,4,Poor layout design,5,"Poor layout design, Lack of enough info",4,5,3,5,3,4,"Your shopping basket, Under each category's main page",26 - 35,Female
2022-12-26 下午03:49:54,Every Month,150 - 300,4,"Site search function, Website Functionality Guidelines",3,4,"Poor layout design, Don't want to read the text (too much info)",5,"Poor layout design, Lack of enough info",4,5,4,4,2,5,"My account page, Homepage, Your saved Items list",26 - 35,Female
2022-12-26 下午03:50:05,Only at sales,150 - 300,4,"Website page design, Site search function, Prices and events",2,5,Font design,5,I am fine with it,5,2,5,4,3,2,"Under each category's main page, My account page",19 - 25,Male
2022-12-26 下午03:50:24,Every Year,80 - 150,3,"After-sales service (return and exchange service, etc.), Website Functionality Guidelines, Prices and events",5,4,I am fine with it,2,"Poor font design, Poor layout design, Lack of enough info",4,5,2,4,4,4,"Under each category's main page, Your shopping basket, My account page",19 - 25,Female
2022-12-26 下午03:51:15,Every Month,150 - 300,4,"Product presentation (text-based), Product presentation (mainly pictures and videos)",2,3,"No direct visual stimulation (e.g. images), Font design",1,I am fine with it,2,4,3,2,1,2,"Your shopping basket, Your saved Items list",Under 18,Female
2022-12-26 下午03:51:46,Only at sales,30 - 80,4,"Site search function, Website Functionality Guidelines",5,3,I am fine with it,5,I am fine with it,4,5,2,2,5,2,"Your shopping basket, Product information page, Under each category's main page",36 - 45,Female
2022-12-26 下午03:52:13,Only at sales,80 - 150,4,"Prices and events, Website Functionality Guidelines",2,4,I am fine with it,2,"Poor layout design, Lack of enough info",4,4,4,2,5,5,"Homepage, My account page",26 - 35,Female
2022-12-26 下午03:52:26,Every Year,30 - 80,2,"Logistics, Website page design",5,4,I am fine with it,3,"Poor layout design, Lack of enough info",4,4,5,4,2,2,"Homepage, Product information page, Your shopping basket",26 - 35,Male
2022-12-26 下午03:53:11,Every Year,30 - 80,3,"Prices and events, After-sales service (return and exchange service, etc.)",3,4,I am fine with it,4,I am fine with it,4,5,2,2,5,4,"Your shopping basket, Under each category's main page",19 - 25,Male
2022-12-26 下午03:53:58,Every Week,30 - 80,3,"Site search function, Logistics",2,1,No direct visual stimulation (e.g. images),1,I am fine with it,1,1,2,2,3,3,"Under each category's main page, My account page, Your shopping basket",19 - 25,Male
2022-12-26 下午03:54:47,Every Year,80 - 150,5,"Product presentation (mainly pictures and videos), Product presentation (text-based)",3,4,"No direct visual stimulation (e.g. images), Font design",5,Lack of enough info,4,4,2,5,3,5,"Your shopping basket, Under each category's main page, Product information page",26 - 35,Female
2022-12-26 下午03:54:54,Only at sales,30 - 80,5,"Website page design, Variety of payment options",1,4,"Poor layout design, No direct visual stimulation (e.g. images)",5,I am fine with it,4,5,4,2,5,2,"Your shopping basket, Under each category's main page, My account page",36 - 45,Female
2022-12-26 下午03:55:20,Every Week,30 - 80,2,"Site search function, Pre-sales service (contact the seller for product information, etc.), Logistics",2,1,I am fine with it,4,Lack of enough info,1,4,2,2,3,4,"My account page, Your shopping basket, Under each category's main page",36 - 45,Male
2022-12-26 下午03:55:51,Only at sales,0 - 30,2,"Prices and events, Website Functionality Guidelines, Logistics",2,1,I am fine with it,2,"Poor font design, Lack of enough info",4,2,2,2,3,2,"Under each category's main page, Homepage",19 - 25,Male
2022-12-26 下午03:56:45,Every Year,80 - 150,4,"Product presentation (mainly pictures and videos), Logistics",1,4,"No direct visual stimulation (e.g. images), Poor layout design",5,I am fine with it,3,4,3,5,4,1,"Homepage, Under each category's main page",Under 18,Female
2022-12-26 下午03:57:40,Every Week,30 - 80,5,"Website Functionality Guidelines, Logistics",3,3,"No direct visual stimulation (e.g. images), Poor layout design",5,"Lack of enough info, Poor layout design",4,4,2,4,4,5,"Your shopping basket, Your saved Items list, Under each category's main page",19 - 25,Female
2022-12-26 下午03:58:04,Only at sales,80 - 150,3,"Pre-sales service (contact the seller for product information, etc.), Product presentation (text-based), Logistics",1,2,I am fine with it,1,Lack of enough info,2,1,2,2,1,4,"Your shopping basket, Product information page",26 - 35,Female
2022-12-26 下午03:59:39,Every Month,80 - 150,3,"Logistics, Consumer reviews and scores",5,5,I am fine with it,5,I am fine with it,4,5,5,5,4,4,"Homepage, Product information page, Your shopping basket",19 - 25,Female
2022-12-26 下午04:00:02,Only at sales,30 - 80,2,"Variety of payment options, Consumer reviews and scores, Website Functionality Guidelines",5,4,"Poor layout design, No direct visual stimulation (e.g. images)",4,"Lack of enough info, Poor font design",4,4,5,2,3,4,"Your shopping basket, Homepage, My account page",36 - 45,Female
2022-12-26 下午04:00:42,Every Month,30 - 80,4,"Product presentation (text-based), Website page design, Consumer reviews and scores",5,5,"Poor layout design, No direct visual stimulation (e.g. images)",5,I am fine with it,2,5,5,2,4,4,"My account page, Your shopping basket",36 - 45,Female
2022-12-26 下午04:00:44,Only at sales,150 - 300,2,"Product presentation (mainly pictures and videos), Website page design, Product presentation (text-based)",3,3,I am fine with it,4,I am fine with it,1,2,2,2,1,2,"My account page, Homepage, Under each category's main page",36 - 45,Male
2022-12-26 下午04:00:59,Every Week,30 - 80,2,"Site search function, Variety of payment options",2,2,I am fine with it,2,"Poor layout design, Poor font design, Lack of enough info",1,2,2,1,1,1,"Under each category's main page, Product information page, At check out",36 - 45,Female
2022-12-27 上午12:23:27,Only at sales,80 - 150,5,"Prices and events, Product presentation (text-based)",3,5,No direct visual stimulation (e.g. images),4,Lack of enough info,4,5,5,5,5,5,"Your shopping basket, Homepage",19 - 25,Female
2022-12-27 上午12:23:52,Only at sales,150 - 300,5,"After-sales service (return and exchange service, etc.), Website page design",3,3,I am fine with it,1,I am fine with it,4,5,2,2,5,5,"Under each category's main page, Your shopping basket, Product information page",36 - 45,Male
2022-12-27 上午12:23:55,Every Month,150 - 300,2,"Site search function, Website page design, Pre-sales service (contact the seller for product information, etc.)",3,1,"Font design, No direct visual stimulation (e.g. images)",1,"Poor layout design, Lack of enough info",2,4,2,2,3,1,"Your shopping basket, Under each category's main page, Product information page",Under 18,Female
2022-12-27 上午12:24:56,Only at sales,80 - 150,5,"Consumer reviews and scores, Site search function, Product presentation (text-based)",5,1,"No direct visual stimulation (e.g. images), Poor layout design",4,I am fine with it,5,5,2,1,3,5,"Your shopping basket, My account page, Homepage",Under 18,Male
2022-12-27 上午12:26:34,Every Week,0 - 30,3,"After-sales service (return and exchange service, etc.), Product presentation (mainly pictures and videos)",1,4,"No direct visual stimulation (e.g. images), Font design",2,"Poor font design, Lack of enough info",4,1,2,3,1,1,"Product information page, Homepage, My account page",19 - 25,Female
2022-12-27 上午12:29:43,Only at sales,30 - 80,4,"Variety of payment options, Pre-sales service (contact the seller for product information, etc.), Product presentation (mainly pictures and videos)",3,5,I am fine with it,2,I am fine with it,4,2,5,5,2,5,"Product information page, My account page, Under each category's main page",19 - 25,Male
2022-12-27 上午12:30:47,Only at sales,150 - 300,5,"Product presentation (text-based), Product presentation (mainly pictures and videos), Website page design",5,4,I am fine with it,2,"Lack of enough info, Poor font design",5,5,2,2,2,4,"Your shopping basket, Your saved Items list, My account page",36 - 45,Male
2022-12-27 上午12:32:59,Only at sales,150 - 300,3,"Product presentation (mainly pictures and videos), Logistics",3,5,I am fine with it,1,Lack of enough info,5,2,4,2,5,4,"When you filter or search, it will be shown in the filter called ""Recommended for you"", Homepage",19 - 25,Male
2022-12-27 上午05:58:27,Every Year,0 - 30,1,Prices and events,1,2,Don't want to read the text (too much info),3,Poor font design,4,3,1,4,2,3,"My account page, Your shopping basket",26 - 35,Male
2022-12-27 下午01:25:44,Every Season,0 - 30,5,"Prices and events, Product presentation (mainly pictures and videos), Site search function, Consumer reviews and scores",2,4,I am fine with it,3,Lack of enough info,4,4,3,4,3,4,"Homepage, My account page",19 - 25,Female
2022-12-28 上午01:06:08,Every Month,30 - 80,3,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), After-sales service (return and exchange service, etc.), Consumer reviews and scores, Logistics",2,3,Poor layout design,3,Lack of enough info,4,4,5,5,2,3,"Product information page, When you filter or search, it will be shown in the filter called ""Recommended for you"", Your shopping basket",19 - 25,Female
2022-12-29 上午03:57:18,Every Year,80 - 150,4,"Prices and events, Consumer reviews and scores",3,3,I am fine with it,4,I am fine with it,4,3,4,4,3,3,"Homepage, Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Male
2023-1-2 下午02:11:10,Every Month,Above 300,4,"Prices and events, Pre-sales service (contact the seller for product information, etc.), Website page design, Consumer reviews and scores",4,3,"Don't want to read the text (too much info), Poor layout design",5,Lack of enough info,4,4,4,2,2,3,"Homepage, My account page, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
2023-1-2 下午02:16:53,Only at sales,80 - 150,4,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), Variety of payment options, Site search function, Pre-sales service (contact the seller for product information, etc.), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores, Logistics",3,4,,2,Lack of enough info,5,5,4,4,4,4,"Homepage, Product information page, When you filter or search, it will be shown in the filter called ""Recommended for you"", Your shopping basket, Your saved Items list",19 - 25,Female
2023-1-2 下午02:21:49,Every Week,30 - 80,4,"Pre-sales service (contact the seller for product information, etc.)",3,4,I am fine with it,2,"Poor font design, Poor layout design",3,4,3,2,4,4,My account page,19 - 25,Female
2023-1-4 上午11:52:26,Every Month,0 - 30,4,"Prices and events, Product presentation (mainly pictures and videos), Product presentation (text-based), After-sales service (return and exchange service, etc.), Website page design, Consumer reviews and scores",3,3,"No direct visual stimulation (e.g. images), Font design, Poor layout design",4,I am fine with it,4,4,4,4,3,2,"Product information page, Under each category's main page, When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female